collection_id,patientID,StudyInstanceUID,SeriesInstanceUID,SOPInstanceUID,gcs_url,md5_hash
NLM-Visible-Human-Project,VHP-F,1.3.6.1.4.1.5962.1.2.2716.1672334394.26545,1.3.6.1.4.1.5962.1.3.2716.6.1672334394.26545,1.3.6.1.4.1.5962.1.1.2716.6.25.1672334394.26545,dac-vhm-radiological-fixed-dst/dac-vhm-dst/dst/Visible-Human/Female-Images/radiological/mri/pd/m_vf3431.dcm,640fc467da2fce48f72315ffdc7a21c0
NLM-Visible-Human-Project,VHP-F,1.3.6.1.4.1.5962.1.2.2716.1672334394.26545,1.3.6.1.4.1.5962.1.3.2716.6.1672334394.26545,1.3.6.1.4.1.5962.1.1.2716.6.27.1672334394.26545,dac-vhm-radiological-fixed-dst/dac-vhm-dst/dst/Visible-Human/Female-Images/radiological/mri/pd/m_vf3435.dcm,13b9a3d819e67324c7f35d1d40b525a7
NLM-Visible-Human-Project,VHP-F,1.3.6.1.4.1.5962.1.2.2716.1672334394.26545,1.3.6.1.4.1.5962.1.3.2716.6.1672334394.26545,1.3.6.1.4.1.5962.1.1.2716.6.29.1672334394.26545,dac-vhm-radiological-fixed-dst/dac-vhm-dst/dst/Visible-Human/Female-Images/radiological/mri/pd/m_vf3439.dcm,82e0afb3530c01c740cc615ea7b3a942
NLM-Visible-Human-Project,VHP-F,1.3.6.1.4.1.5962.1.2.2716.1672334394.26545,1.3.6.1.4.1.5962.1.3.2716.6.1672334394.26545,1.3.6.1.4.1.5962.1.1.2716.6.31.1672334394.26545,dac-vhm-radiological-fixed-dst/dac-vhm-dst/dst/Visible-Human/Female-Images/radiological/mri/pd/m_vf3443.dcm,d64b033368e0b2daac81d93ed1a5ba30
NLM-Visible-Human-Project,VHP-F,1.3.6.1.4.1.5962.1.2.2716.1672334394.26545,1.3.6.1.4.1.5962.1.3.2716.6.1672334394.26545,1.3.6.1.4.1.5962.1.1.2716.6.33.1672334394.26545,dac-vhm-radiological-fixed-dst/dac-vhm-dst/dst/Visible-Human/Female-Images/radiological/mri/pd/m_vf3447.dcm,c7bd128588f3eb846b416d05209f5205
NLM-Visible-Human-Project,VHP-F,1.3.6.1.4.1.5962.1.2.2716.1672334394.26545,1.3.6.1.4.1.5962.1.3.2716.6.1672334394.26545,1.3.6.1.4.1.5962.1.1.2716.6.35.1672334394.26545,dac-vhm-radiological-fixed-dst/dac-vhm-dst/dst/Visible-Human/Female-Images/radiological/mri/pd/m_vf3451.dcm,ca6876a77928df004ff66655d68d39d2
NLM-Visible-Human-Project,VHP-F,1.3.6.1.4.1.5962.1.2.2716.1672334394.26545,1.3.6.1.4.1.5962.1.3.2716.6.1672334394.26545,1.3.6.1.4.1.5962.1.1.2716.6.37.1672334394.26545,dac-vhm-radiological-fixed-dst/dac-vhm-dst/dst/Visible-Human/Female-Images/radiological/mri/pd/m_vf3455.dcm,9f01aff484f8ba960448ea39a760530a
NLM-Visible-Human-Project,VHP-F,1.3.6.1.4.1.5962.1.2.2716.1672334394.26545,1.3.6.1.4.1.5962.1.3.2716.6.1672334394.26545,1.3.6.1.4.1.5962.1.1.2716.6.39.1672334394.26545,dac-vhm-radiological-fixed-dst/dac-vhm-dst/dst/Visible-Human/Female-Images/radiological/mri/pd/m_vf3459.dcm,1c12ec9575f5b8db01c45c8382ba2ea3
NLM-Visible-Human-Project,VHP-F,1.3.6.1.4.1.5962.1.2.2716.1672334394.26545,1.3.6.1.4.1.5962.1.3.2716.6.1672334394.26545,1.3.6.1.4.1.5962.1.1.2716.6.41.1672334394.26545,dac-vhm-radiological-fixed-dst/dac-vhm-dst/dst/Visible-Human/Female-Images/radiological/mri/pd/m_vf3463.dcm,b6a99b263522a51c94d46a4f9e66c6bc
NLM-Visible-Human-Project,VHP-F,1.3.6.1.4.1.5962.1.2.2716.1672334394.26545,1.3.6.1.4.1.5962.1.3.2716.6.1672334394.26545,1.3.6.1.4.1.5962.1.1.2716.6.43.1672334394.26545,dac-vhm-radiological-fixed-dst/dac-vhm-dst/dst/Visible-Human/Female-Images/radiological/mri/pd/m_vf3467.dcm,75a0dab2fac94b7a203eb968f10a4c5b
